Source field,Source meaning,Tuva model/field,Transformation,Required?,DQ rule
clm_id,Claim header ID,medical_claim.claim_id,Trim; retain as string (never cast to numeric),Yes,"Not null after trim (claims_mapping.trim/transform_claims: blank clm_id is rejected, not defaulted)"
line_no,Claim line number within clm_id,medical_claim.claim_line_number,"Cast to integer via a strict digits-only pattern; unparseable values are rejected, never coerced to a guess",Yes,"Unique with claim: (clm_id, line_no) must be unique per data_source after dedup (claims_mapping.find_grain_conflicts)"
member_key,"Vendor-assigned member ID, as carried on both the eligibility file and each claim line",eligibility.person_id,"Deterministic crosswalk lookup against member_crosswalk.csv (member_key -> person_id); multiple member_key values may resolve to the same person_id (documented merge, see decision 5); on the eligibility file specifically, an unmatched member_key quarantines the span rather than loading it under a NULL person_id",Yes,FK coverage: >=90% of distinct member_key values across claims+eligibility must resolve via the crosswalk (claims_mapping.fk_coverage / FK_COVERAGE_THRESHOLD)
paid_cents,"Paid amount, in integer cents",medical_claim.paid_amount,"Divide by 100 using Decimal arithmetic (never float, never integer //); blank/unparseable is NULL (pending/not-yet-adjudicated), never defaulted to 0",No,Range/reconciliation: |paid_amount| <= |allowed_amount| <= |charge_amount| (claims_mapping.reconciliation_violations)
member_key,Vendor-assigned member ID (as carried on each claim line),medical_claim.person_id,"Same deterministic crosswalk as the member_key row above, applied per claim line; unmatched member_key does not reject the claim line, it is flagged matched_member=False and excluded from the FK-coverage numerator",Yes,"FK coverage: same >=90% threshold, measured jointly across claims + eligibility member_key values"
clm_status_code,"Claim/line lifecycle status: 1=original, 7=adjustment/replacement, 8=void",(not a stored Input Layer column; drives net-paid netting only -- see decision 2),"Classify into {original, adjustment, void}; feeds claims_mapping.net_paid_amount()'s supersede/cancel logic",Yes,"Accepted values: {1, 7, 8} (anything else is a data-quality defect, not silently accepted)"
orig_clm_id,clm_id of the original claim an adjustment/void supersedes or reverses,(not a stored Input Layer column; a linking key only -- see decision 2),Trim; retained as the linking key used by net_paid_amount() to exclude a superseded original (status 7) or net a void's negative amount against its original (status 8),"No (required when clm_status_code in {7, 8})","Referential: when populated, must reference a clm_id present elsewhere in the same delivery"
claim_form_code,Claim form indicator supplied by the source (UB04 or CMS1500),(not a stored Input Layer column; the primary signal for deriving medical_claim.claim_type -- see decision 3),"Deterministic precedence rule (claims_mapping.derive_claim_type): UB04 -> institutional, CMS1500 -> professional, otherwise fall back to bill_type_code/place_of_service_code, otherwise 'undetermined'",No,"Accepted values when populated: {UB04, CMS1500}"
bill_type_code,UB-04 type-of-bill code,medical_claim.bill_type_code,"Trim; retain as string (never cast to numeric -- leading zeros, e.g. '011', are meaningful)",No,Format: only populated on lines claims_mapping.derive_claim_type classifies institutional
place_of_service_code,CMS-1500 place-of-service code,medical_claim.place_of_service_code,"Trim; retain as string (never cast to numeric -- leading zeros, e.g. '02', are meaningful)",No,Format: only populated on lines claims_mapping.derive_claim_type classifies professional
rev_code,UB-04 revenue center code,medical_claim.revenue_center_code,"Trim; retain as string (never cast to numeric -- leading zeros, e.g. '0450'/'0001', are meaningful)",No,Format: 4-character numeric-looking string; leading zeros preserved exactly
diag_type,Diagnosis code system for this line's diag_cd_N columns (e.g. ICD-10-CM),medical_claim.diagnosis_code_type,Trim; one code-system value applies to every diag_cd_N on the line,No,"Accepted values: {ICD-10-CM, ICD-9-CM}; not null when any diag_cd_N is populated"
diag_cd_1,Primary diagnosis code (repeated-column position 1),medical_claim.diagnosis_code_1,Trim; source column position 1 is always the primary diagnosis (claims_mapping.normalize_diagnoses),No,Sequence/primary rule: exactly one diagnosis per claim line is flagged primary (sequence 1)
diag_cd_2,Secondary diagnosis code (repeated-column position 2),medical_claim.diagnosis_code_2,"Trim; deduplicated against diag_cd_1 (exact repeats collapse, first occurrence keeps its sequence position)",No,"Deduplicated: an exact repeat of a lower-numbered diag_cd_N is dropped, not double-counted"
diag_cd_3,Tertiary diagnosis code (repeated-column position 3),medical_claim.diagnosis_code_3,Trim; deduplicated against diag_cd_1/diag_cd_2,No,"Deduplicated, sequence-preserved (claims_mapping.normalize_diagnoses)"
proc_type,Procedure code system for this line's proc_cd_N columns (e.g. ICD-10-PCS),medical_claim.procedure_code_type,Trim; one code-system value applies to every proc_cd_N on the line,No,"Accepted values: {ICD-10-PCS, HCPCS, CPT}"
proc_cd_1,Primary procedure code (repeated-column position 1),medical_claim.procedure_code_1,Trim; source column position 1 is sequence 1 (claims_mapping.normalize_procedures),No,Sequence-preserved; deduplicated against later proc_cd_N columns
proc_dt_1,Date of the position-1 procedure,medical_claim.procedure_date_1,Cast to date via the same strict YYYY-MM-DD pattern as macros/safe_cast.sql's safe_date(); unparseable -> NULL,No,"Format: valid ISO date or NULL, never a parse failure that aborts the row"
proc_cd_2,Secondary procedure code (repeated-column position 2),medical_claim.procedure_code_2,Trim; deduplicated against proc_cd_1,No,"Deduplicated, sequence-preserved"
proc_dt_2,Date of the position-2 procedure,medical_claim.procedure_date_2,Cast to date via the same strict pattern as proc_dt_1,No,Format: valid ISO date or NULL
allowed_cents,"Allowed amount, in integer cents",medical_claim.allowed_amount,"Divide by 100 using Decimal arithmetic; blank/unparseable is NULL, never 0",No,Range/reconciliation: |paid_amount| <= |allowed_amount| <= |charge_amount|
charge_cents,"Billed charge amount, in integer cents",medical_claim.charge_amount,"Divide by 100 using Decimal arithmetic; blank/unparseable is NULL, never 0",No,Range/reconciliation: |paid_amount| <= |allowed_amount| <= |charge_amount|
payer,Payer/carrier name on the eligibility span,eligibility.payer,Trim; retain as string,No,Not null when coverage_type is populated
plan,Plan/sub-contract name on the eligibility span,eligibility.plan,Trim; retain as string,No,Not null when coverage_type is populated
coverage_type,"Product/coverage-type tag on the eligibility span (e.g. medical, dental)",(not a stored Input Layer column; a span-consolidation partition key only -- see decision 7),Trim; used with person_id/payer/plan as the partition key claims_mapping.consolidate_eligibility groups spans by before merging,No,Accepted values documented in docs/CLAIMS_MAPPING_DECISIONS.md decision 7; spans with different coverage_type are never merged together
span_start_dt,Eligibility span start date,eligibility.enrollment_start_date,Cast to date via the strict YYYY-MM-DD pattern; the consolidation sort/merge key,Yes,"Not null, valid date, and <= span_end_dt when span_end_dt is populated (claims_mapping.consolidate_eligibility quarantines violations)"
span_end_dt,Eligibility span end date,eligibility.enrollment_end_date,"Cast to date via the strict pattern; a blank value means open-ended (ongoing coverage), preserved as NULL rather than defaulted to a date",No,Valid ISO date or blank/open-ended; must be >= span_start_dt when populated
